miRNA	Gene		context_score	weighted_score
mmu-miR-196b-5p	ENSG00000175556	LONRF3	0.327	0.132
mmu-miR-196b-5p	ENSG00000175697	GPR156	0.23	0.23
mmu-miR-196b-5p	ENSG00000175893	ZDHHC21	0.331	0.323
mmu-miR-196b-5p	ENSG00000176887	SOX11	0.307	0.057
mmu-miR-196b-5p	ENSG00000176928	GCNT4	0.177	0.177
mmu-miR-196b-5p	ENSG00000177076	ACER2	0.158	0.158
mmu-miR-196b-5p	ENSG00000177463	NR2C2	0.366	0.172
mmu-miR-196b-5p	ENSG00000177542	SLC25A22	0.185	0.185
mmu-miR-196b-5p	ENSG00000177707	NECTIN3	0.328	0.323
mmu-miR-196b-5p	ENSG00000177732	SOX12	0.25	0.25
mmu-miR-196b-5p	ENSG00000177764	#N/A	0.259	0.259
mmu-miR-196b-5p	ENSG00000178177	LCORL	0.272	0.101
mmu-miR-196b-5p	ENSG00000178338	ZNF354B	0.406	0.063
mmu-miR-196b-5p	ENSG00000179051	RCC2	0.426	0.426
mmu-miR-196b-5p	ENSG00000179915	NRXN1	0.197	0.197
mmu-miR-196b-5p	ENSG00000180008	SOCS4	0.154	0.111
mmu-miR-196b-5p	ENSG00000180667	YOD1	0.292	0.292
mmu-miR-196b-5p	ENSG00000181704	YIPF6	0.319	0.167
mmu-miR-196b-5p	ENSG00000182489	XKRX	0.209	0.209
mmu-miR-196b-5p	ENSG00000182541	LIMK2	0.261	0.261
mmu-miR-196b-5p	ENSG00000183307	TMEM121B	0.104	0.104
mmu-miR-196b-5p	ENSG00000183715	OPCML	0.313	0.313
mmu-miR-196b-5p	ENSG00000183955	KMT5A	0.063	0.063
mmu-miR-196b-5p	ENSG00000184012	TMPRSS2	0.244	0.172
mmu-miR-196b-5p	ENSG00000184787	UBE2G2	0.273	0.267
mmu-miR-196b-5p	ENSG00000185090	MANEAL	0.114	0.113
mmu-miR-196b-5p	ENSG00000185621	LMLN	0.189	0.155
mmu-miR-196b-5p	ENSG00000185630	PBX1	0.43	0.211
mmu-miR-196b-5p	ENSG00000185760	KCNQ5	0.25	0.25
mmu-miR-196b-5p	ENSG00000187109	NAP1L1	0.183	0.147
mmu-miR-196b-5p	ENSG00000187772	LIN28B	0.279	0.279
mmu-miR-196b-5p	ENSG00000187955	COL14A1	0.163	0.163
mmu-miR-196b-5p	ENSG00000188158	NHS	0.067	0.067
mmu-miR-196b-5p	ENSG00000188778	ADRB3	0.321	0.321
mmu-miR-196b-5p	ENSG00000188997	KCTD21	0.172	0.172
mmu-miR-196b-5p	ENSG00000196233	LCOR	0.205	0.205
mmu-miR-196b-5p	ENSG00000196678	ERI2	0.41	0.066
mmu-miR-196b-5p	ENSG00000196943	NOP9	0.191	0.191
mmu-miR-196b-5p	ENSG00000197183	NOL4L	0.117	0.048
mmu-miR-196b-5p	ENSG00000197959	DNM3	0.187	0.187
mmu-miR-196b-5p	ENSG00000198668	CALM1	0.425	0.424
mmu-miR-196b-5p	ENSG00000198689	SLC9A6	0.428	0.428
mmu-miR-196b-5p	ENSG00000198739	LRRTM3	0.172	0.172
mmu-miR-196b-5p	ENSG00000198740	ZNF652	0.154	0.024
mmu-miR-196b-5p	ENSG00000198799	LRIG2	0.344	0.344
mmu-miR-196b-5p	ENSG00000198844	ARHGEF15	0.17	0.17
mmu-miR-196b-5p	ENSG00000198862	LTN1	0.151	0.063
mmu-miR-196b-5p	ENSG00000203782	LORICRIN	0.346	0.346
mmu-miR-196b-5p	ENSG00000205155	PSENEN	0.153	0.153
mmu-miR-196b-5p	ENSG00000205189	ZBTB10	0.097	0.012
mmu-miR-196b-5p	ENSG00000205808	PLPP6	0.333	0.257
mmu-miR-196b-5p	ENSG00000206052	DOK6	0.215	0.215
mmu-miR-196b-5p	ENSG00000206579	XKR4	0.218	0.218
mmu-miR-196b-5p	ENSG00000213281	NRAS	0.395	0.395
mmu-miR-196b-5p	ENSG00000215397	SCRT2	0.128	0.128
mmu-miR-196b-5p	ENSG00000217128	FNIP1	0.197	0.197
mmu-miR-196b-5p	ENSG00000219438	TAFA5	0.531	0.169
mmu-miR-196b-5p	ENSG00000236699	ARHGEF38	0.327	0.327
mmu-miR-196b-5p	ENSG00000237441	RGL2	0.308	0.015
mmu-miR-196b-5p	ENSG00000242265	PEG10	0.25	0.25
mmu-miR-196b-5p	ENSG00000248713	C4orf54	0.046	0.046
mmu-miR-196b-5p	ENSG00000250588	#N/A	0.273	0.273
mmu-miR-196b-5p	ENSG00000256463	SALL3	0.171	0.112
mmu-miR-196b-5p	ENSG00000257184	ENSG00000257184	0.497	0.477
mmu-miR-196b-5p	ENSG00000257242	LINC01619	0.183	0.183
mmu-miR-196b-5p	ENSG00000259112	NDUFC2-KCTD14	0.202	0
mmu-miR-196b-5p	ENSG00000260027	HOXB7	0.738	0.738
mmu-miR-196b-5p	ENSG00000261609	GAN	0.226	0.151
mmu-miR-218-5p	ENSG00000001631	KRIT1	0.293	0.002
mmu-miR-218-5p	ENSG00000002016	RAD52	0.312	0.185
mmu-miR-218-5p	ENSG00000002746	HECW1	0.081	0.036
mmu-miR-218-5p	ENSG00000002834	LASP1	0.334	0.322
mmu-miR-218-5p	ENSG00000003096	KLHL13	0.274	0.274
mmu-miR-218-5p	ENSG00000003249	DBNDD1	0.167	0.167
mmu-miR-218-5p	ENSG00000004399	PLXND1	0.01	0.01
mmu-miR-218-5p	ENSG00000005108	THSD7A	0.155	0.155
mmu-miR-218-5p	ENSG00000005249	PRKAR2B	0.295	0.202
mmu-miR-218-5p	ENSG00000005889	ZFX	0.384	0.373
mmu-miR-218-5p	ENSG00000006128	TAC1	0.297	0.297
mmu-miR-218-5p	ENSG00000006283	CACNA1G	0.209	0.09
mmu-miR-218-5p	ENSG00000006831	ADIPOR2	0.228	0.204
mmu-miR-218-5p	ENSG00000008441	NFIX	0.136	0.136
mmu-miR-218-5p	ENSG00000010818	HIVEP2	0.107	0.033
mmu-miR-218-5p	ENSG00000011105	TSPAN9	0.463	0.001
mmu-miR-218-5p	ENSG00000011332	DPF1	0.163	0.163
mmu-miR-218-5p	ENSG00000011405	PIK3C2A	0.215	0.215
mmu-miR-218-5p	ENSG00000012232	EXTL3	0.134	0.133
mmu-miR-218-5p	ENSG00000012660	ELOVL5	0.173	0.173
mmu-miR-218-5p	ENSG00000017373	#N/A	0.038	0.038
mmu-miR-218-5p	ENSG00000018236	CNTN1	0.164	0.157
mmu-miR-218-5p	ENSG00000019505	SYT13	0.578	0.578
mmu-miR-218-5p	ENSG00000020633	RUNX3	0.352	0.352
mmu-miR-218-5p	ENSG00000021645	NRXN3	0.208	0.208
mmu-miR-218-5p	ENSG00000029534	ANK1	0.029	0.029
mmu-miR-218-5p	ENSG00000029725	RABEP1	0.436	0.172
mmu-miR-218-5p	ENSG00000033122	LRRC7	0.059	0.059
mmu-miR-218-5p	ENSG00000033327	GAB2	0.185	0.182
mmu-miR-218-5p	ENSG00000033800	PIAS1	0.231	0.03
mmu-miR-218-5p	ENSG00000036257	CUL3	0.312	0.05
mmu-miR-218-5p	ENSG00000038382	TRIO	0.265	0.086
mmu-miR-218-5p	ENSG00000041515	MYO16	0.139	0.139
mmu-miR-218-5p	ENSG00000041982	TNC	0.252	0.001
mmu-miR-218-5p	ENSG00000042429	MED17	0.672	0.672
mmu-miR-218-5p	ENSG00000043093	DCUN1D1	0.385	0.385
mmu-miR-218-5p	ENSG00000043143	JADE2	0.132	0.09
mmu-miR-218-5p	ENSG00000047346	ATOSA	0.261	0.261
mmu-miR-218-5p	ENSG00000048540	LMO3	0.557	0.557
mmu-miR-218-5p	ENSG00000050030	NEXMIF	0.099	0.099
mmu-miR-218-5p	ENSG00000053254	FOXN3	0.131	0.015
mmu-miR-218-5p	ENSG00000054267	ARID4B	0.226	0.226
mmu-miR-218-5p	ENSG00000055917	PUM2	0.122	0.121
mmu-miR-218-5p	ENSG00000056277	ZNF280C	0.164	0.164
mmu-miR-218-5p	ENSG00000056661	#N/A	0.295	0.069
mmu-miR-218-5p	ENSG00000057019	DCBLD2	0.28	0.28
mmu-miR-218-5p	ENSG00000058262	SEC61A1	0.428	0.415
mmu-miR-218-5p	ENSG00000060709	RIMBP2	0.191	0.191
mmu-miR-218-5p	ENSG00000060749	QSER1	0.046	0.038
mmu-miR-218-5p	ENSG00000060982	BCAT1	0.233	0.026
mmu-miR-218-5p	ENSG00000063601	MTMR1	0.236	0.236
mmu-miR-218-5p	ENSG00000064651	SLC12A2	0.232	0.232
mmu-miR-218-5p	ENSG00000064995	TAF11	0.507	0.507
mmu-miR-218-5p	ENSG00000065413	ANKRD44	0.163	0.153
mmu-miR-218-5p	ENSG00000066027	PPP2R5A	0.368	0.368
mmu-miR-218-5p	ENSG00000066336	SPI1	0.544	0.544
mmu-miR-218-5p	ENSG00000066382	MPPED2	0.184	0.184
mmu-miR-218-5p	ENSG00000066422	ZBTB11	0.44	0.44
mmu-miR-218-5p	ENSG00000066468	FGFR2	0.176	0.176
mmu-miR-218-5p	ENSG00000067646	ZFY	0.382	0.382
mmu-miR-218-5p	ENSG00000067715	SYT1	0.074	0.074
mmu-miR-218-5p	ENSG00000067798	NAV3	0.123	0.123
mmu-miR-218-5p	ENSG00000067840	PDZD4	0.306	0.306
mmu-miR-218-5p	ENSG00000067900	ROCK1	0.17	0.17
mmu-miR-218-5p	ENSG00000070367	EXOC5	0.118	0.118
mmu-miR-218-5p	ENSG00000070886	EPHA8	0.239	0.239
mmu-miR-218-5p	ENSG00000071189	SNX13	0.078	0.078
mmu-miR-218-5p	ENSG00000071626	DAZAP1	0.197	0.197
mmu-miR-218-5p	ENSG00000072071	ADGRL1	0.142	0.142
mmu-miR-218-5p	ENSG00000072110	ACTN1	0.397	0.396
mmu-miR-218-5p	ENSG00000072121	ZFYVE26	0.08	0.012
mmu-miR-218-5p	ENSG00000072364	AFF4	0.162	0.156
mmu-miR-218-5p	ENSG00000072422	RHOBTB1	0.327	0.327
mmu-miR-218-5p	ENSG00000072518	MARK2	0.078	0.078
mmu-miR-218-5p	ENSG00000072609	CHFR	0.263	0.067
mmu-miR-218-5p	ENSG00000072657	TRHDE	0.218	0.126
mmu-miR-218-5p	ENSG00000072736	NFATC3	0.196	0.193
mmu-miR-218-5p	ENSG00000072849	DERL2	0.265	0.193
mmu-miR-218-5p	ENSG00000073614	KDM5A	0.238	0.058
mmu-miR-218-5p	ENSG00000074211	PPP2R2C	0.188	0.188
mmu-miR-218-5p	ENSG00000074317	SNCB	0.169	0.169
mmu-miR-218-5p	ENSG00000075240	GRAMD4	0.15	0.145
mmu-miR-218-5p	ENSG00000075340	ADD2	0.184	0.176
mmu-miR-218-5p	ENSG00000075891	PAX2	0.149	0.149
mmu-miR-218-5p	ENSG00000076641	PAG1	0.293	0.293
mmu-miR-218-5p	ENSG00000076864	RAP1GAP	0.305	0.305
mmu-miR-218-5p	ENSG00000077264	PAK3	0.152	0.136
mmu-miR-218-5p	ENSG00000077279	DCX	0.21	0.21
mmu-miR-218-5p	ENSG00000077380	DYNC1I2	0.348	0.176
mmu-miR-218-5p	ENSG00000077514	POLD3	0.469	0.469
mmu-miR-218-5p	ENSG00000077684	JADE1	0.28	0.278
mmu-miR-218-5p	ENSG00000078061	ARAF	0.303	0.303
mmu-miR-218-5p	ENSG00000078114	NEBL	0.222	0.216
mmu-miR-218-5p	ENSG00000078369	GNB1	0.152	0.152
mmu-miR-218-5p	ENSG00000078804	TP53INP2	0.456	0.17
mmu-miR-218-5p	ENSG00000079102	RUNX1T1	0.086	0.086
mmu-miR-218-5p	ENSG00000079387	SENP1	0.204	0.204
mmu-miR-218-5p	ENSG00000079691	CARMIL1	0.07	0.07
mmu-miR-218-5p	ENSG00000079841	RIMS1	0.197	0.197
mmu-miR-218-5p	ENSG00000080298	RFX3	0.193	0.138
mmu-miR-218-5p	ENSG00000080561	MID2	0.308	0.237
mmu-miR-218-5p	ENSG00000081154	PCNP	0.352	0.01
mmu-miR-218-5p	ENSG00000081177	EXD2	0.418	0.418
mmu-miR-218-5p	ENSG00000081189	MEF2C	0.279	0.021
mmu-miR-218-5p	ENSG00000081842	PCDHA6	0.11	0.012
mmu-miR-218-5p	ENSG00000082482	KCNK2	0.152	0.128
mmu-miR-218-5p	ENSG00000082497	SERTAD4	0.352	0.352
mmu-miR-218-5p	ENSG00000082641	NFE2L1	0.132	0.003
mmu-miR-218-5p	ENSG00000083067	TRPM3	0.134	0.059
mmu-miR-218-5p	ENSG00000084731	KIF3C	0.163	0.163
mmu-miR-218-5p	ENSG00000085998	POMGNT1	0.268	0.268
mmu-miR-218-5p	ENSG00000086475	SEPHS1	0.264	0.158
mmu-miR-218-5p	ENSG00000087258	GNAO1	0.212	0.212
mmu-miR-218-5p	ENSG00000087460	GNAS	0.444	0.31
mmu-miR-218-5p	ENSG00000088367	EPB41L1	0.109	0.002
mmu-miR-218-5p	ENSG00000088387	DOCK9	0.02	0.02
mmu-miR-218-5p	ENSG00000088812	ATRN	0.116	0.116
mmu-miR-218-5p	ENSG00000088854	DNAAF9	0.198	0.197
mmu-miR-218-5p	ENSG00000089159	PXN	0.194	0.181
mmu-miR-218-5p	ENSG00000089902	RCOR1	0.264	0.164
mmu-miR-218-5p	ENSG00000090581	GNPTG	0.214	0.001
mmu-miR-218-5p	ENSG00000091428	RAPGEF4	0.235	0.235
mmu-miR-218-5p	ENSG00000091664	SLC17A6	0.169	0.169
mmu-miR-218-5p	ENSG00000091844	RGS17	0.438	0.438
mmu-miR-218-5p	ENSG00000092199	HNRNPC	0.221	0.221
mmu-miR-218-5p	ENSG00000092421	SEMA6A	0.254	0.254
mmu-miR-218-5p	ENSG00000092607	TBX15	0.154	0.154
mmu-miR-218-5p	ENSG00000092847	AGO1	0.099	0.094
mmu-miR-218-5p	ENSG00000092871	RFFL	0.503	0.408
mmu-miR-218-5p	ENSG00000093000	NUP50	0.568	0.568
mmu-miR-218-5p	ENSG00000093183	SEC22C	0.323	0.249
mmu-miR-218-5p	ENSG00000094916	CBX5	0.281	0.051
mmu-miR-218-5p	ENSG00000095637	SORBS1	0.153	0.153
mmu-miR-218-5p	ENSG00000095951	HIVEP1	0.451	0.451
mmu-miR-218-5p	ENSG00000096070	BRPF3	0.157	0.157
mmu-miR-218-5p	ENSG00000099219	ERMP1	0.243	0.121
mmu-miR-218-5p	ENSG00000099365	STX1B	0.186	0.035
mmu-miR-218-5p	ENSG00000099904	ZDHHC8	0.053	0.053
mmu-miR-218-5p	ENSG00000099942	CRKL	0.13	0.13
mmu-miR-218-5p	ENSG00000100003	SEC14L2	0.259	0.208
mmu-miR-218-5p	ENSG00000100014	SPECC1L	0.229	0.229
mmu-miR-218-5p	ENSG00000100077	GRK3	0.207	0.017
mmu-miR-218-5p	ENSG00000100207	TCF20	0.088	0.088
mmu-miR-218-5p	ENSG00000100321	SYNGR1	0.227	0.227
mmu-miR-218-5p	ENSG00000100346	CACNA1I	0.194	0.194
mmu-miR-218-5p	ENSG00000100441	KHNYN	0.01	0.002
mmu-miR-218-5p	ENSG00000100505	TRIM9	0.166	0.166
mmu-miR-218-5p	ENSG00000100580	TMED8	0.183	0.183
mmu-miR-218-5p	ENSG00000100592	DAAM1	0.2	0.141
mmu-miR-218-5p	ENSG00000100744	GSKIP	0.315	0.315
mmu-miR-218-5p	ENSG00000100811	YY1	0.154	0.103
mmu-miR-218-5p	ENSG00000100823	APEX1	0.422	0
mmu-miR-218-5p	ENSG00000100852	ARHGAP5	0.155	0.15
mmu-miR-218-5p	ENSG00000101098	RIMS4	0.166	0.166
mmu-miR-218-5p	ENSG00000101265	RASSF2	0.21	0.204
mmu-miR-218-5p	ENSG00000101266	CSNK2A1	0.476	0.018
mmu-miR-218-5p	ENSG00000101596	SMCHD1	0.203	0.171
mmu-miR-218-5p	ENSG00000101888	NXT2	0.152	0.152
mmu-miR-218-5p	ENSG00000101928	MOSPD1	0.396	0.265
mmu-miR-218-5p	ENSG00000101935	AMMECR1	0.059	0.059
mmu-miR-218-5p	ENSG00000101977	MCF2	0.247	0.247
mmu-miR-218-5p	ENSG00000102054	RBBP7	0.271	0.005
mmu-miR-218-5p	ENSG00000102057	KCND1	0.201	0.201
mmu-miR-218-5p	ENSG00000102349	KLF8	0.227	0.081
mmu-miR-218-5p	ENSG00000102547	CAB39L	0.344	0.132
mmu-miR-218-5p	ENSG00000102580	DNAJC3	0.168	0.141
mmu-miR-218-5p	ENSG00000102786	INTS6	0.373	0.373
mmu-miR-218-5p	ENSG00000102978	POLR2C	0.3	0.022
mmu-miR-218-5p	ENSG00000103034	NDRG4	0.19	0.181
mmu-miR-218-5p	ENSG00000103056	SMPD3	0.134	0.134
mmu-miR-218-5p	ENSG00000103404	USP31	0.119	0.063
mmu-miR-218-5p	ENSG00000103460	TOX3	0.246	0.246
mmu-miR-218-5p	ENSG00000103510	KAT8	0.33	0.33
mmu-miR-218-5p	ENSG00000103540	CCP110	0.227	0.224
mmu-miR-218-5p	ENSG00000104043	ATP8B4	0.114	0.114
mmu-miR-218-5p	ENSG00000104131	EIF3J	0.227	0.227
mmu-miR-218-5p	ENSG00000104267	CA2	0.275	0.275
mmu-miR-218-5p	ENSG00000104331	BPNT2	0.329	0.238
mmu-miR-218-5p	ENSG00000104756	KCTD9	0.505	0.505
mmu-miR-218-5p	ENSG00000105186	ANKRD27	0.179	0.179
mmu-miR-218-5p	ENSG00000105245	NUMBL	0.144	0.144
mmu-miR-218-5p	ENSG00000105991	HOXA1	0.312	0.312
mmu-miR-218-5p	ENSG00000106299	WASL	0.113	0.109
mmu-miR-218-5p	ENSG00000106780	MEGF9	0.164	0.164
mmu-miR-218-5p	ENSG00000107020	PLGRKT	0.84	0.84
mmu-miR-218-5p	ENSG00000107147	KCNT1	0.259	0.259
mmu-miR-218-5p	ENSG00000107929	LARP4B	0.341	0.232
mmu-miR-218-5p	ENSG00000108001	EBF3	0.28	0.191
mmu-miR-218-5p	ENSG00000108018	SORCS1	0.295	0.295
mmu-miR-218-5p	ENSG00000108061	SHOC2	0.254	0.005
mmu-miR-218-5p	ENSG00000108091	CCDC6	0.168	0.007
mmu-miR-218-5p	ENSG00000108175	ZMIZ1	0.145	0.145
mmu-miR-218-5p	ENSG00000108239	TBC1D12	0.231	0.173
mmu-miR-218-5p	ENSG00000108256	NUFIP2	0.052	0.005
mmu-miR-218-5p	ENSG00000108443	RPS6KB1	0.138	0.138
mmu-miR-218-5p	ENSG00000108654	DDX5	0.224	0
mmu-miR-218-5p	ENSG00000108821	COL1A1	0.31	0.308
mmu-miR-218-5p	ENSG00000108828	VAT1	0.336	0.336
mmu-miR-218-5p	ENSG00000108924	HLF	0.333	0.333
mmu-miR-218-5p	ENSG00000109133	TMEM33	0.238	0.117
mmu-miR-218-5p	ENSG00000109171	SLAIN2	0.194	0.194
mmu-miR-218-5p	ENSG00000109189	USP46	0.178	0.035
mmu-miR-218-5p	ENSG00000109572	CLCN3	0.144	0.144
mmu-miR-218-5p	ENSG00000109686	SH3D19	0.344	0.198
mmu-miR-218-5p	ENSG00000109756	RAPGEF2	0.102	0.102
mmu-miR-218-5p	ENSG00000109787	KLF3	0.186	0.157
mmu-miR-218-5p	ENSG00000109819	PPARGC1A	0.119	0.119
mmu-miR-218-5p	ENSG00000109906	ZBTB16	0.096	0.089
mmu-miR-218-5p	ENSG00000109956	B3GAT1	0.278	0.278
mmu-miR-218-5p	ENSG00000110367	DDX6	0.179	0.091
mmu-miR-218-5p	ENSG00000110395	CBL	0.078	0.078
mmu-miR-218-5p	ENSG00000110400	NECTIN1	0.31	0.31
mmu-miR-218-5p	ENSG00000110427	KIAA1549L	0.114	0.114
mmu-miR-218-5p	ENSG00000110693	SOX6	0.089	0.032
mmu-miR-218-5p	ENSG00000110881	ASIC1	0.197	0.107
mmu-miR-218-5p	ENSG00000110931	CAMKK2	0.155	0.152
mmu-miR-218-5p	ENSG00000111262	KCNA1	0.101	0.101
mmu-miR-218-5p	ENSG00000111596	CNOT2	0.178	0.178
mmu-miR-218-5p	ENSG00000111647	BLTP3B	0.323	0.175
mmu-miR-218-5p	ENSG00000111711	GOLT1B	0.247	0.247
mmu-miR-218-5p	ENSG00000111780	ENSG00000111780	0.191	0.107
mmu-miR-218-5p	ENSG00000111860	CEP85L	0.135	0.068
mmu-miR-218-5p	ENSG00000111913	RIPOR2	0.309	0.309
mmu-miR-218-5p	ENSG00000111961	SASH1	0.219	0.219
mmu-miR-218-5p	ENSG00000112079	STK38	0.145	0.145
mmu-miR-218-5p	ENSG00000112139	MDGA1	0.282	0.278
mmu-miR-218-5p	ENSG00000112144	CILK1	0.087	0.034
mmu-miR-218-5p	ENSG00000112218	GPR63	0.286	0.286
mmu-miR-218-5p	ENSG00000112245	PTP4A1	0.306	0.3
mmu-miR-218-5p	ENSG00000112308	C6orf62	0.235	0.123
mmu-miR-218-5p	ENSG00000112309	B3GAT2	0.279	0.273
mmu-miR-218-5p	ENSG00000112394	SLC16A10	0.308	0.299
mmu-miR-218-5p	ENSG00000112414	ADGRG6	0.081	0.081
mmu-miR-218-5p	ENSG00000112893	MAN2A1	0.275	0.275
mmu-miR-218-5p	ENSG00000113163	CERT1	0.275	0.275
mmu-miR-218-5p	ENSG00000113231	PDE8B	0.208	0.159
mmu-miR-218-5p	ENSG00000113368	LMNB1	0.324	0.319
mmu-miR-218-5p	ENSG00000113494	PRLR	0.159	0.159
mmu-miR-218-5p	ENSG00000113532	ST8SIA4	0.25	0.25
mmu-miR-218-5p	ENSG00000113594	LIFR	0.124	0.124
mmu-miR-218-5p	ENSG00000113758	DBN1	0.536	0.018
mmu-miR-218-5p	ENSG00000114030	KPNA1	0.231	0.08
mmu-miR-218-5p	ENSG00000114062	UBE3A	0.179	0.169
mmu-miR-218-5p	ENSG00000114279	FGF12	0.369	0.037
mmu-miR-218-5p	ENSG00000114353	GNAI2	0.412	0.412
mmu-miR-218-5p	ENSG00000114423	CBLB	0.045	0.008
mmu-miR-218-5p	ENSG00000114439	BBX	0.167	0.151
mmu-miR-218-5p	ENSG00000114520	SNX4	0.455	0.455
mmu-miR-218-5p	ENSG00000114742	WDR48	0.02	0.006
mmu-miR-218-5p	ENSG00000114757	PEX5L	0.215	0.215
mmu-miR-218-5p	ENSG00000114850	SSR3	0.518	0.428
mmu-miR-218-5p	ENSG00000114948	ADAM23	0.111	0.048
mmu-miR-218-5p	ENSG00000115041	KCNIP3	0.401	0.401
mmu-miR-218-5p	ENSG00000115145	STAM2	0.473	0.465
mmu-miR-218-5p	ENSG00000115339	GALNT3	0.188	0.188
mmu-miR-218-5p	ENSG00000115355	CCDC88A	0.241	0.11
mmu-miR-218-5p	ENSG00000115464	USP34	0.294	0.171
mmu-miR-218-5p	ENSG00000115661	STK16	0.308	0.002
mmu-miR-218-5p	ENSG00000115760	BIRC6	0.289	0.289
mmu-miR-218-5p	ENSG00000115935	WIPF1	0.183	0.085
mmu-miR-218-5p	ENSG00000116128	BCL9	0.353	0.312
mmu-miR-218-5p	ENSG00000116141	MARK1	0.104	0.047
mmu-miR-218-5p	ENSG00000116199	FAM20B	0.219	0.219
mmu-miR-218-5p	ENSG00000116514	RNF19B	0.224	0.012
mmu-miR-218-5p	ENSG00000116698	SMG7	0.111	0.109
mmu-miR-218-5p	ENSG00000116819	TFAP2E	0.197	0.197
mmu-miR-218-5p	ENSG00000116852	KIF21B	0.111	0.111
mmu-miR-218-5p	ENSG00000117013	KCNQ4	0.101	0.101
mmu-miR-218-5p	ENSG00000117016	RIMS3	0.175	0.056
mmu-miR-218-5p	ENSG00000117600	PLPPR4	0.284	0.284
mmu-miR-218-5p	ENSG00000117707	PROX1	0.085	0.082
mmu-miR-218-5p	ENSG00000118058	KMT2A	0.077	0.076
mmu-miR-218-5p	ENSG00000118260	CREB1	0.253	0.091
mmu-miR-218-5p	ENSG00000118922	KLF12	0.227	0.204
mmu-miR-218-5p	ENSG00000118985	ELL2	0.226	0.206
mmu-miR-218-5p	ENSG00000119042	SATB2	0.296	0.264
mmu-miR-218-5p	ENSG00000119138	KLF9	0.276	0.276
mmu-miR-218-5p	ENSG00000119383	PTPA	0.219	0.219
mmu-miR-218-5p	ENSG00000119414	PPP6C	0.193	0.067
mmu-miR-218-5p	ENSG00000119547	ONECUT2	0.251	0.251
mmu-miR-218-5p	ENSG00000119661	DNAL1	0.304	0.033
mmu-miR-218-5p	ENSG00000119689	DLST	0.15	0.15
mmu-miR-218-5p	ENSG00000119729	RHOQ	0.216	0.216
mmu-miR-218-5p	ENSG00000119771	KLHL29	0.408	0.408
mmu-miR-218-5p	ENSG00000119772	DNMT3A	0.14	0.137
mmu-miR-218-5p	ENSG00000119862	LGALSL	0.255	0.118
mmu-miR-218-5p	ENSG00000119906	SLF2	0.187	0.1
mmu-miR-218-5p	ENSG00000119927	GPAM	0.02	0.02
mmu-miR-218-5p	ENSG00000120071	KANSL1	0.176	0.176
mmu-miR-218-5p	ENSG00000120093	HOXB3	0.16	0.16
mmu-miR-218-5p	ENSG00000120251	GRIA2	0.171	0.171
mmu-miR-218-5p	ENSG00000120278	PLEKHG1	0.058	0.054
mmu-miR-218-5p	ENSG00000120594	PLXDC2	0.32	0.292
mmu-miR-218-5p	ENSG00000120727	PAIP2	0.259	0.065
mmu-miR-218-5p	ENSG00000120733	KDM3B	0.159	0.159
mmu-miR-218-5p	ENSG00000120742	SERP1	0.298	0.247
mmu-miR-218-5p	ENSG00000121207	LRAT	0.272	0.272
mmu-miR-218-5p	ENSG00000121454	LHX4	0.202	0.095
mmu-miR-218-5p	ENSG00000121644	DESI2	0.205	0.181
mmu-miR-218-5p	ENSG00000121895	TMEM156	0.213	0.138
mmu-miR-218-5p	ENSG00000122254	HS3ST2	0.296	0.296
mmu-miR-218-5p	ENSG00000122515	ZMIZ2	0.303	0.108
mmu-miR-218-5p	ENSG00000122557	HERPUD2	0.679	0.679
mmu-miR-218-5p	ENSG00000122565	CBX3	0.517	0.517
mmu-miR-218-5p	ENSG00000122694	GLIPR2	0.223	0.223
mmu-miR-218-5p	ENSG00000122733	PHF24	0.287	0.112
mmu-miR-218-5p	ENSG00000122778	KIAA1549	0.184	0.168
mmu-miR-218-5p	ENSG00000122824	NUDT10	0.218	0.218
mmu-miR-218-5p	ENSG00000123119	NECAB1	0.288	0.288
mmu-miR-218-5p	ENSG00000123415	SMUG1	0.32	0.32
mmu-miR-218-5p	ENSG00000123552	USP45	0.215	0.206
mmu-miR-218-5p	ENSG00000124181	PLCG1	0.291	0.291
mmu-miR-218-5p	ENSG00000124201	ZNFX1	0.117	0.117
mmu-miR-218-5p	ENSG00000124226	RNF114	0.189	0.138
mmu-miR-218-5p	ENSG00000124302	CHST8	0.36	0.36
mmu-miR-218-5p	ENSG00000124486	USP9X	0.127	0.001
mmu-miR-218-5p	ENSG00000124783	SSR1	0.29	0.011
mmu-miR-218-5p	ENSG00000124788	ATXN1	0.167	0.124
mmu-miR-218-5p	ENSG00000124813	RUNX2	0.154	0.154
mmu-miR-218-5p	ENSG00000124831	LRRFIP1	0.374	0.374
mmu-miR-218-5p	ENSG00000125149	PHAF1	0.28	0.28
mmu-miR-218-5p	ENSG00000125266	EFNB2	0.142	0.142
mmu-miR-218-5p	ENSG00000125430	HS3ST3B1	0.386	0.386
mmu-miR-218-5p	ENSG00000125676	THOC2	0.187	0.187
mmu-miR-218-5p	ENSG00000125686	MED1	0.09	0.082
mmu-miR-218-5p	ENSG00000125817	CENPB	0.205	0.205
mmu-miR-218-5p	ENSG00000125848	FLRT3	0.211	0.091
mmu-miR-218-5p	ENSG00000126070	AGO3	0.159	0.119
mmu-miR-218-5p	ENSG00000126822	PLEKHG3	0.143	0.007
mmu-miR-218-5p	ENSG00000126878	AIF1L	0.37	0.337
